config1;config2;config3;config4;config5;config6;config7;config8;config9;config10;config11;config12;config13;config14;config15;config16;config17;config18;config19;config20;config21;config22;config23;config24
-4.1548965559740685;-4.155309835704282;-4.153701529022909;-3.9518102294846984;-4.085357861881412;-4.079151851764879;-4.127576741310136;-4.155809291847466;-4.155809291828237;-4.082400088517409;-4.103774604140851;-4.145795504267666;-4.143876473361162;-4.149509816598888;-4.154581270423692;-4.123626001878822;-4.10214638403385;-4.113665998173052;-4.155809291463495;-4.155809291836961;-4.155809291846638;-4.1485755936334066;-4.09518447377315;-4.124564124032316
-4.142746478901574;-4.1549794477842035;-4.154317569426728;-4.1285064961638716;-4.105143400977438;-4.155117710424071;-4.155809291847722;-4.155809291847296;-4.155809291841792;-4.082179924449798;-4.061395354532498;-4.11180024121769;-4.1519771997241515;-4.1546929819882426;-4.15492086642704;-4.154895418169382;-4.115503511790854;-4.153590704071574;-4.127576741309857;-4.155808842876121;-4.155809291847378;-4.124329727575174;-4.08457688830357;-4.114266676037931
-4.143766886086136;-4.148464852974832;-4.154251106624262;-4.099167434551989;-4.143129486665918;-4.081678739825727;-4.1275762023455975;-4.155809270250005;-4.155809291846743;-4.149959351773824;-4.0999084119700795;-4.121804193113745;-4.1467449572809;-4.147144922288554;-4.151835681775505;-4.1167513874349915;-4.138112629504099;-4.115929624059283;-4.127576741310137;-4.155809271398678;-4.155809291598893;-4.076575921211066;-4.113758391680739;-4.147368906753819
-4.119068476030524;-4.146558425606574;-4.14419359132719;-4.072765986460246;-4.047822436155467;-4.092512347863381;-4.155809291847468;-4.155809291847756;-4.155809291838843;-4.0781857119202085;-4.121196719250336;-4.115407486392839;-4.126094233139959;-4.155705088216168;-4.152064372968776;-4.155677879587701;-3.992967184904194;-4.119382480580177;-4.155809291813129;-4.155809291847682;-4.155809291847687;-4.14525950506732;-4.152488309214969;-4.119176022443635
-4.155314976470257;-4.139681735059409;-4.155540278996648;-4.036416222936885;-4.031225006618905;-4.109818818092061;-4.100861111320396;-4.1558092912525995;-4.155803822603946;-4.11566708993484;-4.0865902849833935;-4.089677682028098;-4.142147154243766;-4.155444627828445;-4.1546155994449645;-4.105911466088346;-4.122649832944415;-4.104746851753108;-4.155809291847782;-4.1558092918475555;-4.155809291842874;-4.150534595395412;-4.114995536705488;-4.108891644107836
-4.1475282447887345;-4.145519376021932;-4.155371994731949;-4.073465988354378;-4.0649048298333765;-4.114154278646036;-4.127576741310116;-4.155809291832938;-4.155809291841452;-4.1342274187636825;-4.11343269428502;-4.118843639542316;-4.145510274554803;-4.127519216451403;-4.155670297949478;-4.0706645348152755;-4.023910632255782;-4.123609067969574;-4.1557374570753165;-4.155809291727734;-4.155809291842986;-4.09998956319626;-4.096996949154362;-4.116040163890087
-4.1185295563542885;-4.1530690669612;-4.154310468681037;-4.116707064979293;-4.090965340738757;-4.088066492557198;-4.1558092918369685;-4.1557410505635906;-4.155809290938233;-4.043025031345543;-4.127046414498405;-4.142483558780559;-4.15439701530465;-4.152799672318118;-4.155261532884072;-4.120480601510349;-4.119344743710336;-4.1275358291446125;-4.1558092481605;-4.155809281473743;-4.155809291838879;-4.149140904997391;-4.074599137166174;-4.104051069704532
-4.151535767401568;-4.155691501998545;-4.154653278912973;-4.131176287482729;-4.123886729919769;-4.097151048052045;-4.15580929184393;-4.15580929184778;-4.155809291847567;-4.133315680145881;-4.1150549327847585;-4.155370122937664;-4.1551985582116435;-4.154652860699723;-4.154954742742055;-4.017943471607581;-4.115823499477072;-4.107939764122143;-4.15580929184731;-4.15580929184771;-4.1558092918038945;-4.139983564671997;-4.10033820985539;-4.11666626797686
-4.148273334550931;-4.15570967924364;-4.153975503595806;-4.070055348434482;-4.116958198223438;-4.143710031904121;-4.155809291819711;-4.155809291847146;-4.155809275745585;-4.092224475575397;-4.148803237631994;-4.079162997018084;-4.154887347915276;-4.153192000735976;-4.154407459497894;-4.121726212010435;-4.120003460525538;-4.140351499812723;-4.1558092918477225;-4.155809291847668;-4.155809291798339;-4.154325014797028;-4.119519319848622;-4.14702190737306
-4.114501626400952;-4.154871294831183;-4.155801351127198;-4.08123950448455;-4.113449390949765;-4.098478459856408;-4.127576741310137;-4.127576741310135;-4.155809280404297;-4.0885305122119435;-4.041221386731729;-4.124583929178884;-4.127178644665984;-4.131653647602679;-4.1556362866132535;-4.095131981590663;-4.118840365132257;-4.126667257087527;-4.155809291814223;-4.155809291847781;-4.155809291846653;-4.1326288418190975;-4.13646328023315;-4.148886261461959
